game_version,completion_level,completion_time,battle_order,notes,total_losses,pokemon_id,battle_timestamps,moves_used,battle_losses,id,created_date,updated_date,created_by_id,created_by,is_sample
"red","0","","{""rival_4"":null,""rival_3"":null,""rival_2"":null,""sabrina"":null,""giovanni_2"":null,""blaine"":null,""giovanni_1"":null,""koga"":null,""misty"":null,""lt_surge"":null,""erica"":null,""rival_5"":null}","","1","6968f71e9bde483fd859c689","{""rival_4"":null,""rival_3"":null,""rival_2"":null,""giovanni_3"":null,""giovanni_2"":null,""giovanni_1"":null,""lance"":null,""koga"":null,""misty"":null,""agatha"":null,""lt_surge"":null,""sabrina"":null,""blaine"":null,""lorelei"":null,""bruno"":null,""brock"":null,""erica"":null,""rival_6"":null,""champion"":null,""rival_5"":null}","[]","{""brock"":""1""}","698da3803126628e8c63545b","2026-02-12T09:55:12.523000","2026-02-12T09:55:43.153000","6968d9b33bd7615d4854fd8b","nadavatar@gmail.com","false"
"red","74","05:35","{""rival_2"":null,""misty"":null,""rival_3"":null,""lt_surge"":null,""erica"":null,""rival_4"":null,""giovanni_1"":null,""koga"":null,""sabrina"":null,""rival_5"":null,""giovanni_2"":null,""blaine"":null}","","0","6968f71e9bde483fd859c65c","{""brock"":null,""rival_2"":null,""misty"":null,""rival_3"":null,""lt_surge"":null,""erica"":null,""rival_4"":null,""giovanni_1"":null,""koga"":null,""sabrina"":null,""rival_5"":null,""giovanni_2"":null,""blaine"":null,""giovanni_3"":null,""rival_6"":null,""lorelei"":null,""bruno"":null,""agatha"":null,""lance"":null,""champion"":null}","[]","{""brock"":null,""rival_2"":null,""misty"":null,""rival_3"":null,""lt_surge"":null,""erica"":null,""rival_4"":null,""giovanni_1"":null,""koga"":null,""sabrina"":null,""rival_5"":null,""giovanni_2"":null,""blaine"":null,""giovanni_3"":null,""rival_6"":null,""lorelei"":null,""bruno"":null,""agatha"":null,""lance"":null,""champion"":null}","6989db4a136333d1b626bf56","2026-02-09T13:04:10","2026-02-09T13:04:10","6968d9b33bd7615d4854fd8b","nadavatar@gmail.com","false"
"red","65","05:17","{""rival_2"":null,""misty"":null,""rival_3"":null,""lt_surge"":null,""erica"":null,""rival_4"":null,""giovanni_1"":null,""koga"":null,""sabrina"":null,""rival_5"":null,""giovanni_2"":null,""blaine"":null}","","0","6968f71e9bde483fd859c665","{""brock"":null,""rival_2"":null,""misty"":null,""rival_3"":null,""lt_surge"":null,""erica"":null,""rival_4"":null,""giovanni_1"":null,""koga"":null,""sabrina"":null,""rival_5"":null,""giovanni_2"":null,""blaine"":null,""giovanni_3"":null,""rival_6"":null,""lorelei"":null,""bruno"":null,""agatha"":null,""lance"":null,""champion"":null}","[""Poison Powder"",""Stun Spore"",""Absorb"",""Bide"",""Bite"",""Acid"",""Sleep Powder"",""Mega Drain"",""Double Edge"",""Petal Dance"",""Swords Dance"",""Mimic"",""Dream Eater"",""Hyper Beam"",""Wing Attack""]","{""brock"":null,""rival_2"":null,""misty"":null,""rival_3"":null,""lt_surge"":null,""erica"":null,""rival_4"":null,""giovanni_1"":null,""koga"":null,""sabrina"":null,""rival_5"":null,""giovanni_2"":null,""blaine"":null,""giovanni_3"":null,""rival_6"":null,""lorelei"":null,""bruno"":null,""agatha"":null,""lance"":null,""champion"":null}","698867af2dc0c583b95fa295","2026-02-08T10:38:39.478000","2026-02-08T12:02:35.391000","6968d9b33bd7615d4854fd8b","nadavatar@gmail.com","false"
"red","63","04:33","{""rival_2"":null,""misty"":null,""rival_3"":null,""lt_surge"":null,""erica"":null,""rival_4"":null,""giovanni_1"":null,""koga"":null,""sabrina"":null,""rival_5"":null,""giovanni_2"":null,""blaine"":null}","","0","6968f71e9bde483fd859c67f","{""brock"":null,""rival_2"":null,""misty"":null,""rival_3"":null,""lt_surge"":null,""erica"":null,""rival_4"":null,""giovanni_1"":null,""koga"":null,""sabrina"":null,""rival_5"":null,""giovanni_2"":null,""blaine"":null,""giovanni_3"":null,""rival_6"":null,""lorelei"":null,""bruno"":null,""agatha"":null,""lance"":null,""champion"":null}","[""Vine Whip"",""Wrap"",""Growth"",""Sleep Powder"",""Acid"",""Mega Drain"",""Mimic"",""Dream Eater"",""Hyper Beam""]","{""brock"":null,""rival_2"":null,""misty"":null,""rival_3"":null,""lt_surge"":null,""erica"":null,""rival_4"":null,""giovanni_1"":null,""koga"":null,""sabrina"":null,""rival_5"":null,""giovanni_2"":null,""blaine"":null,""giovanni_3"":null,""rival_6"":null,""lorelei"":null,""bruno"":null,""agatha"":null,""lance"":null,""champion"":null}","6988676557007ac3473129e9","2026-02-08T10:37:25.984000","2026-02-08T12:02:41.689000","6968d9b33bd7615d4854fd8b","nadavatar@gmail.com","false"
"red","73","05:06","{""rival_2"":null,""misty"":null,""rival_3"":null,""lt_surge"":null,""erica"":null,""rival_4"":null,""giovanni_1"":null,""koga"":null,""sabrina"":null,""rival_5"":null,""giovanni_2"":null,""blaine"":null}","","0","6968f71e9bde483fd859c67c","{""brock"":null,""rival_2"":null,""misty"":null,""rival_3"":null,""lt_surge"":null,""erica"":null,""rival_4"":null,""giovanni_1"":null,""koga"":null,""sabrina"":null,""rival_5"":null,""giovanni_2"":null,""blaine"":null,""giovanni_3"":null,""rival_6"":null,""lorelei"":null,""bruno"":null,""agatha"":null,""lance"":null,""champion"":null}","[""Low Kick"",""Karate Chop"",""Dig"",""Body Slam"",""Rock Slide"",""Earthquake"",""Submission""]","{""brock"":null,""rival_2"":null,""misty"":null,""rival_3"":null,""lt_surge"":null,""erica"":null,""rival_4"":null,""giovanni_1"":null,""koga"":null,""sabrina"":null,""rival_5"":null,""giovanni_2"":null,""blaine"":null,""giovanni_3"":null,""rival_6"":null,""lorelei"":null,""bruno"":null,""agatha"":null,""lance"":null,""champion"":null}","698866e99fb89db9f0600a4a","2026-02-08T10:35:21.055000","2026-02-08T12:03:28.133000","6968d9b33bd7615d4854fd8b","nadavatar@gmail.com","false"
"red","77","06:18","{""rival_2"":null,""misty"":null,""rival_3"":null,""lt_surge"":null,""erica"":null,""rival_4"":null,""giovanni_1"":null,""koga"":null,""sabrina"":null,""rival_5"":null,""giovanni_2"":null,""blaine"":null}","","0","6968f71e9bde483fd859c684","{""brock"":null,""rival_2"":null,""misty"":null,""rival_3"":null,""lt_surge"":null,""erica"":null,""rival_4"":null,""giovanni_1"":null,""koga"":null,""sabrina"":null,""rival_5"":null,""giovanni_2"":null,""blaine"":null,""giovanni_3"":null,""rival_6"":null,""lorelei"":null,""bruno"":null,""agatha"":null,""lance"":null,""champion"":null}","[""Earthquake"",""Rock Slide"",""Submission"",""Body Slam"",""Rock Throw"",""Tackle"",""Struggle"",""Mega Punch"",""Dig"",""Harden""]","{""brock"":null,""rival_2"":null,""misty"":null,""rival_3"":null,""lt_surge"":null,""erica"":null,""rival_4"":null,""giovanni_1"":null,""koga"":null,""sabrina"":null,""rival_5"":null,""giovanni_2"":null,""blaine"":null,""giovanni_3"":null,""rival_6"":null,""lorelei"":null,""bruno"":null,""agatha"":null,""lance"":null,""champion"":null}","6988668f2990cb216b1da91f","2026-02-08T10:33:51.916000","2026-02-08T12:02:45.514000","6968d9b33bd7615d4854fd8b","nadavatar@gmail.com","false"
"red","74","05:15","{""rival_2"":null,""misty"":null,""rival_3"":null,""lt_surge"":null,""erica"":null,""rival_4"":null,""giovanni_1"":null,""koga"":null,""sabrina"":null,""rival_5"":null,""giovanni_2"":null,""blaine"":null}","","0","6968f71e9bde483fd859c65a","{""brock"":null,""rival_2"":null,""misty"":null,""rival_3"":null,""lt_surge"":null,""erica"":null,""rival_4"":null,""giovanni_1"":null,""koga"":null,""sabrina"":null,""rival_5"":null,""giovanni_2"":null,""blaine"":null,""giovanni_3"":null,""rival_6"":null,""lorelei"":null,""bruno"":null,""agatha"":null,""lance"":null,""champion"":null}","[""Leer"",""Horn Attack"",""Poison Sting"",""Double Kick"",""Body Slam"",""Bubble Beam"",""Water Gun"",""Thunderbolt"",""Ice Beam"",""Mimic"",""Agility"",""Amnesia"",""Hypnosis"",""Blizzard"",""Psychic""]","{""brock"":null,""rival_2"":null,""misty"":null,""rival_3"":null,""lt_surge"":null,""erica"":null,""rival_4"":null,""giovanni_1"":null,""koga"":null,""sabrina"":null,""rival_5"":null,""giovanni_2"":null,""blaine"":null,""giovanni_3"":null,""rival_6"":null,""lorelei"":null,""bruno"":null,""agatha"":null,""lance"":null,""champion"":null}","69886657e9474d044551902e","2026-02-08T10:32:55.183000","2026-02-08T12:02:30.910000","6968d9b33bd7615d4854fd8b","nadavatar@gmail.com","false"
"red","88","08:03","{""rival_2"":null,""misty"":null,""rival_3"":null,""lt_surge"":null,""erica"":null,""rival_4"":null,""giovanni_1"":null,""koga"":null,""sabrina"":null,""rival_5"":null,""giovanni_2"":null,""blaine"":null}","","0","6968f71e9bde483fd859c64a","{""brock"":null,""rival_2"":null,""misty"":null,""rival_3"":null,""lt_surge"":null,""erica"":null,""rival_4"":null,""giovanni_1"":null,""koga"":null,""sabrina"":null,""rival_5"":null,""giovanni_2"":null,""blaine"":null,""giovanni_3"":null,""rival_6"":null,""lorelei"":null,""bruno"":null,""agatha"":null,""lance"":null,""champion"":null}","[""Gust"",""Sand Attack"",""Quick Attack"",""Tackle"",""Fly"",""Double Edge"",""Razor Wind"",""Rage"",""Mirror Move"",""Agility"",""Mimic"",""Horn Drill""]","{""brock"":null,""rival_2"":null,""misty"":null,""rival_3"":null,""lt_surge"":null,""erica"":null,""rival_4"":null,""giovanni_1"":null,""koga"":null,""sabrina"":null,""rival_5"":null,""giovanni_2"":null,""blaine"":null,""giovanni_3"":null,""rival_6"":null,""lorelei"":null,""bruno"":null,""agatha"":null,""lance"":null,""champion"":null}","6988649954363001d70932d5","2026-02-08T10:25:29.020000","2026-02-08T12:02:21.645000","6968d9b33bd7615d4854fd8b","nadavatar@gmail.com","false"
"red","72","09:22","{""rival_2"":null,""misty"":null,""rival_3"":null,""lt_surge"":null,""erica"":null,""rival_4"":null,""giovanni_1"":null,""koga"":null,""sabrina"":null,""rival_5"":null,""giovanni_2"":null,""blaine"":null}","","0","6968f71e9bde483fd859c667","{""brock"":null,""rival_2"":null,""misty"":null,""rival_3"":null,""lt_surge"":null,""erica"":null,""rival_4"":null,""giovanni_1"":null,""koga"":null,""sabrina"":null,""rival_5"":null,""giovanni_2"":null,""blaine"":null,""giovanni_3"":null,""rival_6"":null,""lorelei"":null,""bruno"":null,""agatha"":null,""lance"":null,""champion"":null}","[""Scratch"",""Stun Spore"",""Leech Life"",""Body Slam"",""Dig"",""Spore"",""Mega Drain"",""Swords Dance"",""Double-edge"",""Mimic"",""Wing Attack"",""Cut""]","{""brock"":null,""rival_2"":null,""misty"":null,""rival_3"":null,""lt_surge"":null,""erica"":null,""rival_4"":null,""giovanni_1"":null,""koga"":null,""sabrina"":null,""rival_5"":null,""giovanni_2"":null,""blaine"":null,""giovanni_3"":null,""rival_6"":null,""lorelei"":null,""bruno"":null,""agatha"":null,""lance"":null,""champion"":null}","6988640f7d93720445e72f8d","2026-02-08T10:23:11.921000","2026-02-08T12:02:36.946000","6968d9b33bd7615d4854fd8b","nadavatar@gmail.com","false"
"red","64","03:46","{""rival_2"":null,""misty"":null,""rival_3"":null,""lt_surge"":null,""erica"":null,""rival_4"":null,""giovanni_1"":null,""koga"":null,""sabrina"":null,""rival_5"":null,""giovanni_2"":null,""blaine"":null}","","0","6968f71e9bde483fd859c6c6","{""brock"":null,""rival_2"":null,""misty"":null,""rival_3"":null,""lt_surge"":null,""erica"":null,""rival_4"":null,""giovanni_1"":null,""koga"":null,""sabrina"":null,""rival_5"":null,""giovanni_2"":null,""blaine"":null,""giovanni_3"":null,""rival_6"":null,""lorelei"":null,""bruno"":null,""agatha"":null,""lance"":null,""champion"":null}","[""Absorb"",""Scratch"",""Water Gun"",""Harden"",""Body Slam"",""Bubble Beam"",""Ice Beam"",""Swords Dance"",""Surf"",""Blizzard""]","{""brock"":null,""rival_2"":null,""misty"":null,""rival_3"":null,""lt_surge"":null,""erica"":null,""rival_4"":null,""giovanni_1"":null,""koga"":null,""sabrina"":null,""rival_5"":null,""giovanni_2"":null,""blaine"":null,""giovanni_3"":null,""rival_6"":null,""lorelei"":null,""bruno"":null,""agatha"":null,""lance"":null,""champion"":null}","69885b699cd9b09ab76df250","2026-02-08T09:46:17.171000","2026-02-08T12:03:14.183000","6968d9b33bd7615d4854fd8b","nadavatar@gmail.com","false"
