name,type,power,accuracy,id,created_date,updated_date,created_by_id,created_by,is_sample
"Thunderbolt","Electric","90","100","6970a47cb36ec118440c1d19","2026-01-21T10:03:40.692000","2026-01-21T10:03:40.692000","6968d9b33bd7615d4854fd8b","nadavatar@gmail.com","false"
"Splash","Normal","0","0","6970a47cb36ec118440c1d02","2026-01-21T10:03:40.692000","2026-01-21T10:03:40.692000","6968d9b33bd7615d4854fd8b","nadavatar@gmail.com","false"
"Reflect","Psychic","0","0","6970a47cb36ec118440c1ce9","2026-01-21T10:03:40.692000","2026-01-21T10:03:40.692000","6968d9b33bd7615d4854fd8b","nadavatar@gmail.com","false"
"Rock Slide","Rock","75","90","6970a47cb36ec118440c1cec","2026-01-21T10:03:40.692000","2026-01-21T10:03:40.692000","6968d9b33bd7615d4854fd8b","nadavatar@gmail.com","false"
"Thunder","Electric","110","70","6970a47cb36ec118440c1d15","2026-01-21T10:03:40.692000","2026-01-21T10:03:40.692000","6968d9b33bd7615d4854fd8b","nadavatar@gmail.com","false"
"Struggle","Normal","50","0","6970a47cb36ec118440c1d07","2026-01-21T10:03:40.692000","2026-01-21T10:03:40.692000","6968d9b33bd7615d4854fd8b","nadavatar@gmail.com","false"
"Substitute","Normal","0","0","6970a47cb36ec118440c1d0a","2026-01-21T10:03:40.692000","2026-01-21T10:03:40.692000","6968d9b33bd7615d4854fd8b","nadavatar@gmail.com","false"
"Skull Bash","Normal","130","100","6970a47cb36ec118440c1cf6","2026-01-21T10:03:40.692000","2026-01-21T10:03:40.692000","6968d9b33bd7615d4854fd8b","nadavatar@gmail.com","false"
"Solar Beam","Grass","120","100","6970a47cb36ec118440c1cff","2026-01-21T10:03:40.692000","2026-01-21T10:03:40.692000","6968d9b33bd7615d4854fd8b","nadavatar@gmail.com","false"
"Vine Whip","Grass","45","100","6970a47cb36ec118440c1d1e","2026-01-21T10:03:40.692000","2026-01-21T10:03:40.692000","6968d9b33bd7615d4854fd8b","nadavatar@gmail.com","false"
"Sludge","Poison","65","100","6970a47cb36ec118440c1cfb","2026-01-21T10:03:40.692000","2026-01-21T10:03:40.692000","6968d9b33bd7615d4854fd8b","nadavatar@gmail.com","false"
"Smokescreen","Normal","0","100","6970a47cb36ec118440c1cfd","2026-01-21T10:03:40.692000","2026-01-21T10:03:40.692000","6968d9b33bd7615d4854fd8b","nadavatar@gmail.com","false"
"Supersonic","Normal","0","55","6970a47cb36ec118440c1d0c","2026-01-21T10:03:40.692000","2026-01-21T10:03:40.692000","6968d9b33bd7615d4854fd8b","nadavatar@gmail.com","false"
"Water Gun","Water","40","100","6970a47cb36ec118440c1d20","2026-01-21T10:03:40.692000","2026-01-21T10:03:40.692000","6968d9b33bd7615d4854fd8b","nadavatar@gmail.com","false"
"Rolling Kick","Fighting","60","85","6970a47cb36ec118440c1cee","2026-01-21T10:03:40.692000","2026-01-21T10:03:40.692000","6968d9b33bd7615d4854fd8b","nadavatar@gmail.com","false"
"Wrap","Normal","15","90","6970a47cb36ec118440c1d25","2026-01-21T10:03:40.692000","2026-01-21T10:03:40.692000","6968d9b33bd7615d4854fd8b","nadavatar@gmail.com","false"
"Teleport","Psychic","0","0","6970a47cb36ec118440c1d13","2026-01-21T10:03:40.692000","2026-01-21T10:03:40.692000","6968d9b33bd7615d4854fd8b","nadavatar@gmail.com","false"
"Screech","Normal","0","85","6970a47cb36ec118440c1cf1","2026-01-21T10:03:40.692000","2026-01-21T10:03:40.692000","6968d9b33bd7615d4854fd8b","nadavatar@gmail.com","false"
"Wing Attack","Flying","60","100","6970a47cb36ec118440c1d23","2026-01-21T10:03:40.692000","2026-01-21T10:03:40.692000","6968d9b33bd7615d4854fd8b","nadavatar@gmail.com","false"
"Roar","Normal","0","0","6970a47cb36ec118440c1ceb","2026-01-21T10:03:40.692000","2026-01-21T10:03:40.692000","6968d9b33bd7615d4854fd8b","nadavatar@gmail.com","false"
"Super Fang","Normal","0","90","6970a47cb36ec118440c1d0b","2026-01-21T10:03:40.692000","2026-01-21T10:03:40.692000","6968d9b33bd7615d4854fd8b","nadavatar@gmail.com","false"
"Seismic Toss","Fighting","0","100","6970a47cb36ec118440c1cf2","2026-01-21T10:03:40.692000","2026-01-21T10:03:40.692000","6968d9b33bd7615d4854fd8b","nadavatar@gmail.com","false"
"Spore","Grass","0","100","6970a47cb36ec118440c1d03","2026-01-21T10:03:40.692000","2026-01-21T10:03:40.692000","6968d9b33bd7615d4854fd8b","nadavatar@gmail.com","false"
"Surf","Water","90","100","6970a47cb36ec118440c1d0d","2026-01-21T10:03:40.692000","2026-01-21T10:03:40.692000","6968d9b33bd7615d4854fd8b","nadavatar@gmail.com","false"
"Scratch","Normal","40","100","6970a47cb36ec118440c1cf0","2026-01-21T10:03:40.692000","2026-01-21T10:03:40.692000","6968d9b33bd7615d4854fd8b","nadavatar@gmail.com","false"
"Waterfall","Water","80","100","6970a47cb36ec118440c1d21","2026-01-21T10:03:40.692000","2026-01-21T10:03:40.692000","6968d9b33bd7615d4854fd8b","nadavatar@gmail.com","false"
"Recover","Normal","0","0","6970a47cb36ec118440c1ce8","2026-01-21T10:03:40.692000","2026-01-21T10:03:40.692000","6968d9b33bd7615d4854fd8b","nadavatar@gmail.com","false"
"Thunder Wave","Electric","0","90","6970a47cb36ec118440c1d18","2026-01-21T10:03:40.692000","2026-01-21T10:03:40.692000","6968d9b33bd7615d4854fd8b","nadavatar@gmail.com","false"
"Sky Attack","Flying","140","90","6970a47cb36ec118440c1cf7","2026-01-21T10:03:40.692000","2026-01-21T10:03:40.692000","6968d9b33bd7615d4854fd8b","nadavatar@gmail.com","false"
"Thunder Punch","Electric","75","100","6970a47cb36ec118440c1d16","2026-01-21T10:03:40.692000","2026-01-21T10:03:40.692000","6968d9b33bd7615d4854fd8b","nadavatar@gmail.com","false"
"Withdraw","Water","0","0","6970a47cb36ec118440c1d24","2026-01-21T10:03:40.692000","2026-01-21T10:03:40.692000","6968d9b33bd7615d4854fd8b","nadavatar@gmail.com","false"
"Thrash","Normal","120","100","6970a47cb36ec118440c1d14","2026-01-21T10:03:40.692000","2026-01-21T10:03:40.692000","6968d9b33bd7615d4854fd8b","nadavatar@gmail.com","false"
"Spike Cannon","Normal","20","100","6970a47cb36ec118440c1d01","2026-01-21T10:03:40.692000","2026-01-21T10:03:40.692000","6968d9b33bd7615d4854fd8b","nadavatar@gmail.com","false"
"Vice Grip","Normal","55","100","6970a47cb36ec118440c1d1f","2026-01-21T10:03:40.692000","2026-01-21T10:03:40.692000","6968d9b33bd7615d4854fd8b","nadavatar@gmail.com","false"
"Razor Wind","Normal","80","100","6970a47cb36ec118440c1ce7","2026-01-21T10:03:40.692000","2026-01-21T10:03:40.692000","6968d9b33bd7615d4854fd8b","nadavatar@gmail.com","false"
"Take Down","Normal","90","85","6970a47cb36ec118440c1d12","2026-01-21T10:03:40.692000","2026-01-21T10:03:40.692000","6968d9b33bd7615d4854fd8b","nadavatar@gmail.com","false"
"Tail Whip","Normal","0","100","6970a47cb36ec118440c1d11","2026-01-21T10:03:40.692000","2026-01-21T10:03:40.692000","6968d9b33bd7615d4854fd8b","nadavatar@gmail.com","false"
